Unnamed: 0,Rank,Company,Industry,Headquarters City,Country,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Profitable,Female CEO,Sector,Fastest Growing Companies,Change the World,World's Most Admired Companies,Employees,Global 500,slug,CEO,Website,Market value ($M)
106,107,gulf-energy-development,"Oil and Gas Equipment, Services",Bangkok,Thailand,"$3,362.8",24.8%,$427.2,30.8%,"$13,377",yes,No,Energy,no,no,no,"1,212",no,/company/gulf-energy-development/,Sarath Ratanavadi,https://www.gulf.co.th/en,"$12,738"
107,108,metropolitan-bank-&-trust,Commercial Banks,Makati City,Philippines,"$3,291.7",37.8%,$759.8,26%,"$56,055",yes,no,Financials,no,no,no,"18,810",no,/company/metro-bank/,,,"$9,470"
108,109,capital-a,Airlines,Kuala Lumpur,Malaysia,"$3,291.1",119.2%,$73.9,110%,"$6,199",yes,no,Transportation,no,no,no,"21,063",no,/company/capital-a/,Tony Fernandes,https://www.capitala.com/,$709
109,110,masan-group,Food Production,Ho Chi Minh City,Vietnam,"$3,285.2",0.8%,$17.6,-88.5%,"$6,075",yes,no,"Food, Beverages & Tobacco",no,no,no,"35,878",no,/company/masan-group/,Danny Le,https://www.masangroup.com,"$3,795"
110,111,globe-telecom,Telecommunications,Taguig,Philippines,"$3,240.9",0.6%,$441,-30.7%,"$11,042",yes,no,Telecommunications,no,no,no,"7,542",no,/company/globe-telecom/,Ernest L. Cu,https://www.globe.com.ph,"$4,431"
111,112,bpi,Commercial Banks,Makati City,Philippines,"$3,229.7",28.4%,$929.8,27.6%,"$52,146",yes,no,Financials,no,no,no,"19,522",no,/company/bpi/,Jose Teodoro K. Limcaoco,https://online.bpi.com.ph,"$11,619"
112,113,pal-holdings,Airlines,Pasay City,Philippines,"$3,222.1",25.8%,$302.4,101.3%,"$3,967",yes,no,Transportation,no,no,no,"5,109",no,/company/pal-holdings/,Lucio C. Tan,https://www.philippineairlines.com,"$1,196"
113,114,techcombank,Commercial Banks,Hanoi,Vietnam,"$3,180.8",23.9%,$755.8,-12.3%,"$35,016",yes,no,Financials,no,no,no,"11,614",no,/company/techcombank/,Jens Lottner,https://techcombank.com,"$6,479"
114,115,betagro,Food Production,Bangkok,Thailand,"$3,138.2",-3.5%,$-40.2,-117.7%,"$1,820",no,no,"Food, Beverages & Tobacco",no,no,no,"33,514",no,/company/betagro/,Vasit Taepaisitphongse,https://www.betagro.com,"$1,247"
115,116,misc,Shipping,Kuala Lumpur,Malaysia,"$3,132.2",-0.8%,$466.1,12.2%,"$14,174",yes,no,Transportation,no,no,no,"10,435",no,/company/misc/,Rajalingam Subramaniam,https://www.miscgroup.com/,"$7,452"
116,117,thai-life-insurance,"Insurance: Life, Health (stock)",Bangkok,Thailand,"$3,127.3",2%,$279.1,5.3%,"$16,675",yes,no,Health Care,no,no,no,"4,483",no,/company/thai-life-insurance/,Chai Chaiyawan,https://www.thailife.com,"$2,841"
117,118,hong-leong-asia,Diversified Outsourcing Services,Singapore,Singapore,"$3,039.9",7.9%,$48.3,22.1%,"$4,167",yes,no,Industrials,no,no,no,"9,581",no,/company/hong-leong-asia/,Stephen Ho Kiam Kong,https://www.hlasia.com.sg,$343
118,119,press-metal-aluminium,Metals,Shah Alam,Malaysia,"$3,029.7",-15.2%,$266.7,-16.8%,"$3,348",yes,no,Materials,no,no,no,"7,321",no,/company/press-metal/,,,"$2,033"
119,120,indika-energy,"Oil and Gas Equipment, Services",Jakarta,Indonesia,"$3,026.8",-30.2%,$119.7,-73.6%,"$3,113",yes,no,Energy,no,no,no,"3,189",no,/company/indika-energy/,Azis Armand,https://www.indikaenergy.co.id,$460
120,121,rhb-bank,Commercial Banks,Kuala Lumpur,Malaysia,"$3,003.3",16%,$615.9,1%,"$71,610",yes,no,Financials,no,no,no,"13,968",no,/company/rhb-bank/,Mohd Rashid Mohamad,https://www.rhbgroup.com,"$4,944"
121,122,lopez-holdings,Diversified Financials,Mandaluyong City,Philippines,"$2,967.2",-5.3%,$51.3,-48.8%,"$8,540",yes,no,Financials,no,no,no,11,no,/company/lopez-holdings/,Federico R. Lopez,https://lopez-holdings.ph,$286
122,123,bw-lpg,Shipping,Singapore,Singapore,"$2,947.3",89.2%,$470,106.7%,"$2,520",yes,no,Transportation,no,no,no,"1,500",no,/company/bw-lpg/,Kristian Sorensen,https://www.bwlpg.com/,"$1,918"
123,124,bangkok-dusit-medical,Health Care: Medical Facilities,Bangkok,Thailand,"$2,937.3",10.4%,$413.4,14.6%,"$4,180",yes,yes,Health Care,no,no,no,"47,701",no,/company/bangkok-dusit-medical/,Poramaporn Prasarttong-Osoth,https://www.bangkokhospital.com/,"$12,431"
124,125,garuda-indonesia,Airlines,Jakarta,Indonesia,"$2,936.6",39.8%,$250.1,-93.3%,"$6,728",yes,no,Transportation,no,no,no,"4,401",no,/company/garuda-indonesia/,Irfan Setiaputra,https://www.garuda-indonesia.com,$350
125,126,frasers-property,Real Estate,Singapore,Singapore,"$2,919.3",3.2%,$128.1,-81.1%,"$29,131",yes,no,Business Services,no,no,no,"6,741",no,/company/frasers-property/,Panote Sirivadhanabhakdi,https://www.frasersproperty.com,"$2,303"
126,127,halcyon-agri,Chemicals,Singapore,Singapore,"$2,900.8",7.7%,$-87,-384.3%,"$1,967",no,no,Materials,no,no,no,"15,000",no,/company/halcyon-agri/,Sun Weiliang,https://www.halcyonagri.com,$480
127,128,comfortdelgro,"Trucking, Truck Leasing",Singapore,Singapore,"$2,890",5.3%,$134.4,7%,"$3,556",yes,no,Transportation,no,no,no,"22,693",no,/company/comfortdelgro/,Cheng Siak Kian,https://www.comfortdelgro.com,"$2,366"
128,129,bank-for-agriculture,Commercial Banks,Bangkok,Thailand,"$2,804.7",-6.4%,$233.1,-0.4%,"$66,416",yes,no,Financials,no,no,no,"22,611",no,/company/bank-for-agriculture/,Chatchai Sirilai,https://www.baac.or.th,"$14,973"
129,130,celcomdigi,Telecommunications,Petaling Jaya,Malaysia,"$2,783.4",80.4%,$340.7,76.4%,"$7,936",yes,no,Telecommunications,no,no,no,"3,655",no,/company/celcomdigi/,Mohamad Idham Nawawi,https://www.celcomdigi.com,"$10,211"
130,131,akr-corporindo,"Oil and Gas Equipment, Services",Jakarta,Indonesia,"$2,764.4",-13.8%,$182.6,12.7%,"$1,965",yes,no,Energy,no,no,no,"2,813",no,/company/akr-corporindo/,Haryanto Adikoesoemo,https://www.akr.co.id,"$2,038"
131,132,barito-pacific,Chemicals,Jakarta,Indonesia,"$2,760.4",-6.8%,$26.1,1384.1%,"$10,150",yes,no,Materials,no,no,no,"3,344",no,/company/barito-pacific/,Agus Salim Pangestu,https://www.barito-pacific.com,"$5,884"
132,133,telekom-malaysia,Telecommunications,Kuala Lumpur,Malaysia,"$2,689.8",-2.6%,$410.5,57.6%,"$4,997",yes,no,Telecommunications,no,no,no,"18,891",no,/company/telekom-malaysia/,Amar Huzaimi Md Deris,https://www.tm.com.my,"$4,982"
133,134,sacombank,Commercial Banks,Ho Chi Minh City,Vietnam,"$2,672.8",25.9%,$324,50.3%,"$27,798",yes,no,Financials,no,no,no,"18,436",no,/company/sacombank/,Nguyen Duc Thach Diem,https://www.sacombank.com.vn,"$2,098"
134,135,hafnia,Shipping,Singapore,Singapore,"$2,671.7",38.7%,$793.3,5.5%,"$3,914",yes,no,Transportation,no,no,no,"5,040",no,/company/hafnia/,Mikael Skov,https://www.hafniabw.com,"$3,869"
135,136,tmbthanachart-bank,Commercial Banks,Bangkok,Thailand,"$2,670.9",16.9%,$530.9,30.7%,"$53,113",yes,no,Financials,no,no,no,"15,320",no,/company/tmbthanachart-bank/,Piti Tantakasem,https://www.ttbbank.com,"$4,750"
136,137,saigon-hanoi-bank-(shb),Commercial Banks,Hanoi,Vietnam,"$2,646.5",43.8%,$307.5,-7%,"$25,989",yes,no,Financials,no,no,no,"6,246",no,/company/shb/,Do Quang Hien,https://www.shb.com.vn,"$1,636"
137,138,asia-commercial-bank,Commercial Banks,Ho Chi Minh City,Vietnam,"$2,623.5",28.8%,$673.6,15.1%,"$29,629",yes,no,Financials,no,no,no,"13,655",no,/company/asia-commercial-bank/,Tu Tien Phat,https://www.acb.com.vn,"$4,116"
138,139,siamgas-&-petrochemicals,"Oil and Gas Equipment, Services",Bangkok,Thailand,"$2,605.1",-10.9%,$29.3,-4.5%,"$1,538",yes,no,Energy,no,no,no,"2,079",no,/company/siamgas-petrochemicals/,,,"$2,254"
139,140,global-power-synergy,Utilities: Gas and Electric,Bangkok,Thailand,"$2,596.6",-26.6%,$106.2,316.4%,"$8,201",yes,no,Energy,no,no,no,835,no,/company/global-power-synergy/,Worawat Pitayasiri,https://www.gpscgroup.com,"$3,727"
140,141,ioi,Food Production,Putrajaya,Malaysia,"$2,580.9",-30%,$248.3,-39.2%,"$3,769",yes,no,"Food, Beverages & Tobacco",no,no,no,"28,000",no,/company/ioi/,Lee Yeow Chor,https://www.ioigroup.com,"$5,296"
141,142,anan-international,"Oil and Gas Equipment, Services",Singapore,Singapore,"$2,567.3",-19.4%,$5.7,-73.2%,$560,yes,no,Energy,no,no,no,835,no,/company/anan-international/,Zang Jian Jun,https://www.ananinternational.com,$19
142,143,semen-indonesia,"Building Materials, Glass",Jakarta,Indonesia,"$2,538.7",3.5%,$142.6,-10.6%,"$5,315",yes,no,Materials,no,no,no,"10,174",no,/company/semen-indonesia/,Donny Arsal,https://www.sig.id,"$1,944"
143,144,vietnam-dairy-products-(vinamilk),Food Production,Ho Chi Minh City,Vietnam,"$2,534.4",-1.2%,$372.5,2.3%,"$2,171",yes,yes,"Food, Beverages & Tobacco",no,no,no,"9,877",no,/company/vinamilk/,Mai Kieu Lien,https://www.vinamilk.com.vn/en,"$5,362"
144,145,international-container-terminal-services-(ictsi),Transportation and Logistics,Manila,Philippines,"$2,480",10.6%,$511.5,-17.3%,"$7,245",yes,no,Transportation,no,no,no,"10,297",no,/company/ictsi/,Enrique K. Razon Jr.,https://www.ictsi.com,"$11,659"
145,146,boc-aviation,Equipment Leasing,Singapore,Singapore,"$2,461.3",6.7%,$763.9,3708.1%,"$24,170",yes,no,Transportation,no,no,no,198,no,/company/boc-aviation/,Steven Townend,https://www.bocaviation.com,"$5,544"
146,147,vietjet-aviation,Airlines,Ho Chi Minh City,Vietnam,"$2,449.3",42.7%,$9.7,110%,"$3,583",yes,yes,Transportation,no,no,no,"5,729",no,/company/vietjet-aviation/,Dinh Viet Phuong,https://www.vietjetair.com,"$2,223"
147,148,hdbank,Commercial Banks,Ho Chi Minh City,Vietnam,"$2,426.4",50.5%,$422.8,27.6%,"$24,827",yes,no,Financials,no,no,no,"17,345",no,/company/hd-bank/,,,"$2,689"
148,149,sri-trang-agro-industry,Chemicals,Hat Yai,Thailand,"$2,422.4",-23.5%,$-12.5,-109.1%,"$3,253",no,no,Materials,no,no,no,"6,461",no,/company/sri-trang-agro-industry/,Veerasith Sinchareonkul,https://www.sritranggroup.com,$725
149,150,del-monte-pacific,Food Production,Singapore,Singapore,"$2,421.3",3.4%,$17,-83.1%,"$3,140",yes,no,"Food, Beverages & Tobacco",no,no,no,"6,300",no,/company/del-monte-pacific/,"Joselito D. Campos, Jr.",https://www.delmontepacific.com,$155
150,151,bao-viet-holdings,"Insurance: Life, Health (stock)",Hanoi,Vietnam,"$2,415.7",4.7%,$74.9,12.9%,"$9,114",yes,no,Health Care,no,no,no,"7,000",no,/company/bao-viet-holdings/,Nguyen Dinh An,https://www.baoviet.com.vn,"$1,156"
151,152,grab-holdings,Internet Services and Retailing,Singapore,Singapore,"$2,359",64.6%,$-434,74.2%,"$8,792",no,no,Technology,no,no,no,"10,604",no,/company/grab-holdings/,Anthony Tan,https://ww.grab.com/sg,"$13,729"
152,153,hong-leong-financial-group,Diversified Financials,Kuala Lumpur,Malaysia,"$2,318.6",17.5%,$621.9,7.2%,"$67,581",yes,no,Financials,no,no,no,"9,361",no,/company/hong-leong-financial-group/,Tan Kong Khoon,https://www.hlfg.com.my,"$3,978"
153,154,joyy,Internet Services and Retailing,Singapore,Singapore,"$2,267.8",-6%,$347,190.5%,"$8,483",yes,no,Technology,no,no,no,"6,292",no,/company/joyy/,David Xueling Li,https://joyy.sg,"$1,961"
154,155,venture,"Electronics, Electrical Equip",Singapore,Singapore,"$2,253",-19.7%,$201.1,-25%,"$2,695",yes,no,Technology,no,no,no,"11,182",no,/company/venture/,Lee Ghai Keen and Wong Chee Kheong,https://www.venture.com.sg,"$3,088"
155,156,medco-energi-internasional,"Oil and Gas Equipment, Services",Jakarta,Indonesia,"$2,249.3",-2.7%,$330.7,-37.7%,"$7,468",yes,no,Energy,no,no,no,"3,387",no,/company/medco-energi-internasional/,Roberto Lorato,https://www.medcoenergi.com,"$2,083"
156,157,pelabuhan-indonesia-(pelindo),Shipping,Jakarta,Indonesia,"$2,248.1",2%,$251.1,-1.3%,"$7,687",yes,no,Transportation,no,no,no,"17,495",no,/company/pelabuhan-indonesia/,,,"$4,709"
157,158,maxis,Telecommunications,Kuala Lumpur,Malaysia,"$2,234.2",0.2%,$217.9,-16.9%,"$4,963",yes,no,Telecommunications,no,no,no,"3,646",no,/company/maxis/,Seow Eng Goh,https://www.maxis.com.my,"$6,028"
158,159,dmci-holdings,Construction and Farm Machinery,Makati City,Philippines,"$2,209.5",-15.8%,$444.7,-22.3%,"$4,477",yes,no,Industrials,no,no,no,"17,620",no,/company/dmci-holdings/,Isidro A. Consunji,https://www.dmciholdings.com,"$2,548"
159,160,fpt,Information Technology Services,Hanoi,Vietnam,"$2,209",17.4%,$271.4,19.5%,"$2,485",yes,no,Technology,no,no,no,"48,162",no,/company/fpt/,Nguyen Van Khoa,https://www.fpt.com,"$6,176"
160,161,mitra-adiperkasa,Specialty Retailers: Other,Jakarta,Indonesia,"$2,188.5",20.5%,$124.4,-12.9%,"$1,787",yes,no,Retailing,no,no,no,"20,280",no,/company/mitra-adiperkasa/,Herman Bernhard Leopold Mantiri,https://www.map.co.id,"$1,606"
161,162,chandra-asri-pacific,Chemicals,Jakarta,Indonesia,"$2,159.9",-9.4%,$-33.6,77.5%,"$5,614",no,no,Materials,no,no,no,"2,296",no,/company/chandra-asri-petrochemical/,,,"$5,191"
162,163,mapletree-investments,Real Estate,Singapore,Singapore,"$2,145.8",2.7%,$851.3,-37.5%,"$43,189",yes,no,Financials,no,no,no,"2,425",no,/company/mapletree-investments/,Hiew Yoon Khong,https://www.mapletree.com.sg,"$8,595"
163,164,berjaya,Food Services,Kuala Lumpur,Malaysia,"$2,141.6",11%,$-24.6,-300.6%,"$4,757",no,yes,"Food, Beverages & Tobacco",no,no,no,"10,196",no,/company/berjaya/,Vivienne Cheng Chi Fan and Nerine Tan Sheik Ping,https://www.berjayafood.com,$253
164,165,pindo-deli-pulp-&-paper-mills,Forest and Paper Products,Jakarta,Indonesia,"$2,120.9",-8.4%,$310.7,-59.4%,"$7,570",yes,no,Materials,no,no,no,"7,000",no,/company/pindo-deli-pulp-paper/,,,"$4,715"
165,166,bank-tabungan-negara,Commercial Banks,Jakarta,Indonesia,"$2,113.2",11.2%,$230,12%,"$28,500",yes,no,Financials,no,no,no,"12,045",no,/company/bank-tabungan-negara/,Nixon L. P. Napitupulu,https://www.btn.co.id,"$1,142"
166,167,home-product-center,Specialty Retailers: Other,Nonthaburi,Thailand,"$2,093.9",5.4%,$185.2,4.1%,"$2,010",yes,no,Retailing,no,no,no,"11,777",no,/company/home-product-center/,Weerapun Ungsumalee,https://www.homepro.co.th/,"$3,689"
167,168,leong-hup-international,Food Production,Kuala Lumpur,Malaysia,"$2,093.7",1.6%,$66.2,32.8%,"$1,422",yes,no,"Food, Beverages & Tobacco",no,no,no,"12,931",no,/company/leong-hup-international/,Lau Tuang Nguang,https://www.leonghupinternational.com,$444
168,169,lt-group,Diversified Financials,Taguig City,Philippines,"$2,074.1",11.8%,$457.3,-1.1%,"$23,965",yes,no,Industrials,no,no,no,"14,296",no,/company/lt-group/,Lucio C. Tan,https://ltg.com.ph,"$1,903"
169,170,capitaland-investment,Real Estate,Singapore,Singapore,"$2,073.5",-0.7%,$134.8,-78.4%,"$25,882",yes,no,Business Services,no,no,no,"9,862",no,/company/capitaland-investment/,Lee Chee Koon,https://www.capitalandinvest.com,"$9,900"
170,171,mayora-indah,Food Production,Jakarta,Indonesia,"$2,068",,$209.8,60.1%,"$1,551",yes,no,"Food, Beverages & Tobacco",no,no,no,"15,296",no,/company/mayora-indah/,Andre Sukendra Atmadja,https://www.mayoraindah.co.id,"$3,308"
171,172,amman-mineral-international,"Mining, Crude-Oil Production",Jakarta,Indonesia,"$2,033.4",-28.2%,$252.1,-76.9%,"$9,097",yes,no,Materials,no,no,no,"5,076",no,/company/amman-mineral/,,,"$3,517"
172,173,com7,Specialty Retailers: Other,Bangkok,Thailand,"$2,002.5",11.1%,$82.2,-5.5%,$669,yes,no,Retailing,no,no,no,"4,533",no,/company/com7/,Sura Kanittavikul,https://www.comseven.com,"$1,177"
173,174,kalbe-farma,Pharmaceuticals,Jakarta,Indonesia,"$2,000",2.5%,$181.7,-20.3%,"$1,758",yes,no,Health Care,no,no,no,"12,245",no,/company/kalbe-farma/,Vidjongtius,https://www.kalbe.co.id,"$4,149"
174,175,uol-group,Real Estate,Singapore,Singapore,"$1,997.3",-14.1%,$527.1,47.6%,"$16,833",yes,no,Business Services,no,no,no,"1,900",no,/company/uol-group/,Liam Wee sin,https://www.uol.com.sg,"$3,631"
175,176,malakoff,Utilities: Gas and Electric,Kuala Lumpur,Malaysia,"$1,989.9",-15.6%,$-183.7,-366.9%,"$4,423",no,no,Energy,no,no,no,"4,319",no,/company/malakoff/,Anwar Syahrin Abdul Ajib,https://www.malakoff.com.my,$687
176,177,power-generation-(genco3),Utilities: Gas and Electric,Ho Chi Minh City,Vietnam,"$1,925.4",-4.6%,$44.7,-58.1%,"$2,425",yes,no,Energy,no,no,no,"2,104",no,/company/power-generation/,,,"$2,102"
177,178,indomobil,Motor Vehicles & Parts,Jakarta,Indonesia,"$1,897.7",10%,$41.6,38.9%,"$4,087",yes,no,Retailing,no,no,no,"15,242",no,/company/indomobil/,Jusak Kertowidjojo,https://www.indomobil.com,$339
178,179,delta-dunia-makmur,"Mining, Crude-Oil Production",Jakarta,Indonesia,"$1,833.3",18%,$36,25.7%,"$1,875",yes,no,Materials,no,no,no,"16,904",no,/company/delta-dunia-makmur/,Ronald Sutardja,https://deltadunia.com,$226
179,180,italian-thai-development,Engineering & Construction,Bangkok,Thailand,"$1,832.9",-5%,$-30.8,77.4%,"$3,409",no,no,Engineering & Construction,no,no,no,"22,039",no,/company/italian-thai-development/,Premchai Karnasuta,https://www.itd.co.th,$104
180,181,gamuda,Engineering & Construction,Petaling Jaya,Malaysia,"$1,827.3",58.3%,$408.6,115.2%,"$5,277",yes,no,Engineering & Construction,no,no,no,"4,219",no,/company/gamuda/,Lin Yun Ling,https://gamuda.com.my,"$3,083"
181,182,gas-malaysia,Utilities: Gas and Electric,Shah Alam,Malaysia,"$1,773.1",1.8%,$84.1,-5.2%,$699,yes,no,Energy,no,no,no,627,no,/company/gas-malaysia/,Ahmad Hashimi Abdul Manap,https://www.gasmalaysia.com,$975
182,183,hutama-karya,Engineering & Construction,Jakarta,Indonesia,"$1,768.6",8.9%,$120.1,500.5%,"$11,026",yes,no,Engineering & Construction,no,no,no,"1,714",no,/company/hutama-karya/,Budi Harto,https://www.hutamakarya.com,"$3,115"
183,184,starhub,Telecommunications,Singapore,Singapore,"$1,767.5",4.6%,$111.4,146.8%,"$2,301",yes,no,Telecommunications,no,no,no,"1,561",no,/company/starhub/,Nikhil Eapen,https://www.starhub.com,"$1,473"
184,185,vietnam-international-bank-(vib),Commercial Banks,Ho Chi Minh City,Vietnam,"$1,759.1",28.5%,$359.5,-0.8%,"$16,895",yes,no,Financials,no,no,no,"11,799",no,/company/vietnam-international-bank/,,,"$1,850"
185,186,unionbank,Commercial Banks,Pasig,Philippines,"$1,751.4",49.1%,$163.2,-29.6%,"$20,674",yes,no,Financials,no,no,no,"8,510",no,/company/unionbank/,Edwin R. Bautista,https://www.unionbankph.com/,"$1,993"
186,187,merdeka-copper-gold,"Mining, Crude-Oil Production",Jakarta,Indonesia,"$1,706.8",96.2%,$-20.7,-135.4%,"$4,964",no,no,Materials,no,no,no,"10,970",no,/company/merdeka-copper-gold/,Albert Saputro,https://www.merdekacoppergold.com,"$3,957"
187,188,bumi-resources,"Mining, Crude-Oil Production",Jakarta,Indonesia,"$1,680",-8.2%,$10.9,-97.9%,"$4,203",yes,no,Materials,no,no,no,"4,351",no,/company/bumi-resources/,Adika Nuraga Bakrie,https://www.bumiresources.com,"$2,266"
188,189,filinvest-development,Real Estate,Taguig City,Philippines,"$1,670.1",27.6%,$161,54.8%,"$13,268",yes,yes,Business Services,no,no,no,"12,979",no,/company/filinvest-development/,Rhoda A. Huang,https://www.filinvestgroup.com,$854
189,190,b.grimm-power,Utilities: Gas and Electric,Bangkok,Thailand,"$1,642.3",-8%,$54.2,252.2%,"$5,154",yes,no,Energy,no,no,no,"1,221",no,/company/b-grimm-power/,,,"$4,344"
190,191,ambank,Commercial Banks,Kuala Lumpur,Malaysia,"$1,627.4",16.6%,$390.4,8.4%,"$44,794",yes,no,Financials,no,no,no,"8,000",no,/company/ambank/,Jamie Ling Fou-Tsong,https://www.ambankgroup.com,"$2,913"
191,192,thaifoods-group,Food Production,Bangkok,Thailand,"$1,606.5",7.3%,$-23.4,-117.3%,"$1,373",no,no,"Food, Beverages & Tobacco",no,no,no,"4,205",no,/company/thaifoods-group/,Winai Teawsomboonkij,https://www.tfg.co.th,$596
192,193,harita-nickel,Metals,Jakarta,Indonesia,"$1,567.1",142.8%,$369.1,17.3%,"$2,942",yes,no,Materials,no,no,no,"10,134",no,/company/harita-nickel/,Roy Arman Arfandy,https://tbpnickel.com,"$3,773"
193,194,lien-viet-post-bank-(lpbank),Commercial Banks,Hanoi,Vietnam,"$1,564.2",30.6%,$233.9,21.3%,"$15,782",yes,no,Financials,no,no,no,"10,648",no,/company/lien-viet-post-bank/,,,"$2,908"
194,195,vinacomin-northern-coal,"Mining, Crude-Oil Production",Hanoi,Vietnam,"$1,558.1",46.7%,$13.9,73.3%,$163,yes,no,Wholesaler,no,no,no,600,no,/company/vinacomin-northern-coal/,Trung Quang Ngo,https://thanmienbac.vn,$43
195,196,land-transport-authority,Transportation and Logistics,Singapore,Singapore,"$1,554.5",12.6%,$19.7,-44.8%,"$61,245",yes,no,Transportation,no,no,no,"3,473",no,/company/land-transport-authority/,Ng Lang,https://www.lta.gov.sg,"$7,989"
196,197,fraser-and-neave,Beverages,Singapore,Singapore,"$1,552.5",6.2%,$98.5,8.1%,"$3,751",yes,no,"Food, Beverages & Tobacco",no,no,no,"7,200",no,/company/fraser-and-neave/,Hui Choon Kit,https://www.fraserandneave.com,"$1,100"
197,198,aviasi-pariwisata-indonesia-(injourney),Airlines,Jakarta,Indonesia,"$1,533.5",43.4%,$71.2,205.8%,"$6,449",yes,no,Transportation,no,no,no,"8,963",no,/company/aviasi-pariwisata-indonesia/,,,"$2,205"
198,199,keppel-infrastructure-trust,Utilities: Gas and Electric,Singapore,Singapore,"$1,516.4",4.1%,$235.9,46.1%,"$4,259",yes,no,Energy,no,no,no,"1,100",no,/company/keppel-infrastructure-trust/,Kevin Neo,https://www.kepinfratrust.com/,"$1,960"
199,200,abm-investama,"Mining, Crude-Oil Production",Jakarta,Indonesia,"$1,493",3.3%,$289,7.1%,"$2,157",yes,no,Materials,no,no,no,"11,195",no,/company/abm-investama/,Achmad Ananda Djajanegara,https://www.abm-investama.com,$659
200,201,rizal-commercial-banking,Commercial Banks,Makati City,Philippines,"$1,486.9",36.8%,$219.8,-1.1%,"$22,357",yes,no,Financials,no,no,no,"6,184",no,/company/rizal-commercial-banking/,Eugene S. Acevedo,https://www.rcbc.com,$953
201,202,ratch-group,Utilities: Gas and Electric,Nonthaburi,Thailand,"$1,483",-36%,$148.6,-10.2%,"$6,215",yes,no,Energy,no,no,no,565,no,/company/ratch-group/,Nitus Voraphonpiput,https://www.ratch.co.th,"$1,687"
202,203,wijaya-karya,Engineering & Construction,Jakarta,Indonesia,"$1,479.9",2.1%,$-468.2,-11547%,"$4,286",no,no,Engineering & Construction,no,no,no,"2,296",no,/company/wijaya-karya/,Agung Budi Waskito,https://www.wika.co.id,$397
203,204,metrodata-electronics,Information Technology Services,Jakarta,Indonesia,"$1,450.7",2.5%,$42.7,9.2%,$659,yes,no,Technology,no,no,no,"4,298",no,/company/metrodata-electronics/,Susanto Djaja,https://www.metrodata.co.id,$443
204,205,monde-nissin,Food Consumer Products,Santa Rosa,Philippines,"$1,442.1",6.1%,$-11.5,95.2%,"$1,518",no,no,"Food, Beverages & Tobacco",no,no,no,"3,270",no,/company/monde-nissin/,Henry Soesanto,https://www.mondenissin.com,"$3,324"
205,206,china-banking,Commercial Banks,Makati City,Philippines,"$1,437.9",16.2%,$395.9,12.6%,"$26,684",yes,no,Financials,no,no,no,"10,662",no,/company/china-banking/,"Romeo D. Uyan, Jr.",https://www.chinabank.ph,"$1,823"
206,207,tpbank,Commercial Banks,Hanoi,Vietnam,"$1,437.8",21.9%,$187.4,-30%,"$14,700",yes,no,Financials,no,no,no,"7,939",no,/company/tpbank/,Nguyen Hung,https://tpb.vn/eng/ca-nhan,"$1,556"
207,208,yinson-holdings,Energy,Kuala Lumpur,Malaysia,"$1,436.4",65.4%,$133.8,38.6%,"$4,518",yes,no,Industrials,no,no,no,"1,488",no,/company/yinson-holdings/,Lim Chem Yuan,https://www.yinson.com,"$1,555"
208,209,electricity-generating,Utilities: Gas and Electric,Nonthaburi,Thailand,"$1,427",-16.4%,$-241.1,-414%,"$7,081",no,yes,Energy,no,no,no,"1,267",no,/company/electricity-generating/,Jiraporn Sirikum,https://www.egat.co.th,"$1,593"
209,210,petronas-gas,Utilities: Gas and Electric,Kuala Lumpur,Malaysia,"$1,414.6",0.8%,$399.4,6.6%,"$4,209",yes,no,Energy,no,no,no,"1,821",no,/company/petronas-gas/,Abdul Aziz Othman,https://www.petronas.com/pgb,"$7,470"
210,211,ql-resources,Food Production,Shah Alam,Malaysia,"$1,404.5",11.9%,$78,49.8%,"$1,198",yes,no,"Food, Beverages & Tobacco",no,no,no,"8,956",no,/company/ql-resources/,Chia Song Kooi,https://www.ql.com.my,"$3,277"
211,212,fks-multi-agro,Food Production,Jakarta,Indonesia,"$1,401",-10.5%,$24.2,-25%,$491,yes,no,Wholesaler,no,no,no,955,no,/company/fks-multi-agro/,Agung Cahyadi Kusumo,https://www.fksmultiagro.com,$164
212,213,jasa-marga,Transportation and Logistics,Jakarta,Indonesia,"$1,400.3",25.2%,$446.2,140.9%,"$8,400",yes,no,Transportation,no,no,no,"7,949",no,/company/jasa-marga/,Subakti Syukur,https://www.jasamarga.com,"$2,416"
213,214,phu-nhuan-jewelry,Specialty Retailers: Other,Ho Chi Minh City,Vietnam,"$1,391.2",-4%,$82.8,6.8%,$595,yes,no,Wholesaler,no,no,no,"7,672",no,/company/phu-nhuan-jewelry/,Le Tri Thong,https://www.pnj.com.vn/,"$1,255"
214,215,airports-of-thailand,Airlines,Bangkok,Thailand,"$1,377.1",184.6%,$251.5,177.6%,"$5,350",yes,no,Transportation,no,no,no,"8,610",no,/company/airports-of-thailand/,Serirat Prasutanond,https://www.airportthai.co.th,"$25,142"
215,216,changi-airport-group,Airlines,Singapore,Singapore,"$1,370.7",95.7%,$23.8,103.8%,"$10,015",yes,no,Transportation,no,no,no,"1,975",no,/company/changi-airport-group/,Lee Seow Hiang,https://www.changiairport.com,"$3,692"
